2020-01-14 12:58:10.259286
################ BitsOJ  ################
Contest: BitsOJ  - Test 1
Contest Teams:
	Team		   Password		 Type
	judge00001		bits1		JUDGE
	judge00002		bits2		JUDGE
	judge00003		tfl6Zu		JUDGE
	judge00004		NHlljr		JUDGE
	team00001		bits1		CLIENT
	team00002		bits2		CLIENT
	team00003		bits3		CLIENT
	team00004		bits4		CLIENT
	team00005		bits5		CLIENT
	team00006		bits6		CLIENT
	team00007		bits7		CLIENT
	team00008		bits8		CLIENT
	team00009		bits9		CLIENT
	team00010		bits10		CLIENT
	team00011		bits11		CLIENT
	team00012		bits12		CLIENT
	team00013		bits13		CLIENT
	team00014		bits14		CLIENT
	team00015		bits15		CLIENT
	team00016		bits16		CLIENT
	team00017		bits17		CLIENT
	team00018		bits18		CLIENT
	team00019		bits19		CLIENT
	team00020		bits20		CLIENT
	team00021		bits21		CLIENT
	team00022		bits22		CLIENT
	team00023		bits23		CLIENT
	team00024		bits24		CLIENT
	team00025		bits25		CLIENT
	team00026		bits26		CLIENT
	team00027		bits27		CLIENT
	team00028		bits28		CLIENT
	team00029		bits29		CLIENT
	team00030		bits30		CLIENT
	team00031		bits31		CLIENT
	team00032		bits32		CLIENT
	team00033		bits33		CLIENT
	team00034		bits34		CLIENT
	team00035		bits35		CLIENT
	team00036		bits36		CLIENT
	team00037		bits37		CLIENT
	team00038		bits38		CLIENT
	team00039		bits39		CLIENT
	team00040		bits40		CLIENT
	team00041		bits41		CLIENT
	team00042		bits42		CLIENT
	team00043		bits43		CLIENT
	team00044		bits44		CLIENT
	team00045		bits45		CLIENT
	team00046		bits46		CLIENT
	team00047		bits47		CLIENT
	team00048		bits48		CLIENT
	team00049		bits49		CLIENT
	team00050		bits50		CLIENT
	team00051		bits51		CLIENT
	team00052		bits52		CLIENT
	team00053		bits53		CLIENT
	team00054		bits54		CLIENT
	team00055		bits55		CLIENT
	team00056		bits56		CLIENT
	team00057		bits57		CLIENT
	team00058		bits58		CLIENT
	team00059		bits59		CLIENT
	team00060		bits60		CLIENT
	team00061		bits61		CLIENT
	team00062		bits62		CLIENT
	team00063		bits63		CLIENT
	team00064		bits64		CLIENT
	team00065		bits65		CLIENT
	team00066		bits66		CLIENT
	team00067		bits67		CLIENT
	team00068		bits68		CLIENT
	team00069		bits69		CLIENT
	team00070		bits70		CLIENT
	team00071		bits71		CLIENT
	team00072		bits72		CLIENT
	team00073		bits73		CLIENT
	team00074		bits74		CLIENT
	team00075		bits75		CLIENT
	team00076		bits76		CLIENT
	team00077		bits77		CLIENT
	team00078		bits78		CLIENT
	team00079		bits79		CLIENT
	team00080		bits80		CLIENT
	team00081		bits81		CLIENT
	team00082		bits82		CLIENT
	team00083		bits83		CLIENT
	team00084		bits84		CLIENT
	team00085		bits85		CLIENT
	team00086		bits86		CLIENT
	team00087		bits87		CLIENT
	team00088		bits88		CLIENT
	team00089		bits89		CLIENT
	team00090		bits90		CLIENT
	team00091		bits91		CLIENT
	team00092		bits92		CLIENT
	team00093		bits93		CLIENT
	team00094		bits94		CLIENT
	team00095		bits95		CLIENT
	team00096		bits96		CLIENT
	team00097		bits97		CLIENT
	team00098		bits98		CLIENT
	team00099		bits99		CLIENT
	team00100		bits100		CLIENT
	team00101		bits101		CLIENT
	team00102		bits102		CLIENT
	team00103		bits103		CLIENT
	team00104		bits104		CLIENT
	team00105		bits105		CLIENT
	team00106		bits106		CLIENT
	team00107		bits107		CLIENT
	team00108		bits108		CLIENT
	team00109		bits109		CLIENT
	team00110		bits110		CLIENT
	team00111		bits111		CLIENT
	team00112		bits112		CLIENT
	team00113		bits113		CLIENT
	team00114		bits114		CLIENT
	team00115		bits115		CLIENT
	team00116		bits116		CLIENT
	team00117		bits117		CLIENT
	team00118		bits118		CLIENT
	team00119		bits119		CLIENT
	team00120		bits120		CLIENT
	team00121		bits121		CLIENT
	team00122		bits122		CLIENT
	team00123		bits123		CLIENT
	team00124		bits124		CLIENT
	team00125		bits125		CLIENT
	team00126		bits126		CLIENT
	team00127		bits127		CLIENT
	team00128		bits128		CLIENT
	team00129		bits129		CLIENT
	team00130		bits130		CLIENT
	team00131		bits131		CLIENT
	team00132		bits132		CLIENT
	team00133		bits133		CLIENT
	team00134		bits134		CLIENT
	team00135		bits135		CLIENT
	team00136		bits136		CLIENT
	team00137		bits137		CLIENT
	team00138		bits138		CLIENT
	team00139		bits139		CLIENT
	team00140		bits140		CLIENT
	team00141		bits141		CLIENT
	team00142		bits142		CLIENT
	team00143		bits143		CLIENT
	team00144		bits144		CLIENT
	team00145		bits145		CLIENT
	team00146		bits146		CLIENT
	team00147		bits147		CLIENT
	team00148		bits148		CLIENT
	team00149		bits149		CLIENT
	team00150		bits150		CLIENT
	team00151		bits151		CLIENT
	team00152		bits152		CLIENT
	team00153		bits153		CLIENT
	team00154		bits154		CLIENT
	team00155		bits155		CLIENT
	team00156		bits156		CLIENT
	team00157		bits157		CLIENT
	team00158		bits158		CLIENT
	team00159		bits159		CLIENT
	team00160		bits160		CLIENT
	team00161		bits161		CLIENT
	team00162		bits162		CLIENT
	team00163		bits163		CLIENT
	team00164		bits164		CLIENT
	team00165		bits165		CLIENT
	team00166		bits166		CLIENT
	team00167		bits167		CLIENT
	team00168		bits168		CLIENT
	team00169		bits169		CLIENT
	team00170		bits170		CLIENT
	team00171		bits171		CLIENT
	team00172		bits172		CLIENT
	team00173		bits173		CLIENT
	team00174		bits174		CLIENT
	team00175		bits175		CLIENT
	team00176		bits176		CLIENT
	team00177		bits177		CLIENT
	team00178		bits178		CLIENT
	team00179		bits179		CLIENT
	team00180		bits180		CLIENT
	team00181		bits181		CLIENT
	team00182		bits182		CLIENT
	team00183		bits183		CLIENT
	team00184		bits184		CLIENT
	team00185		bits185		CLIENT
	team00186		bits186		CLIENT
	team00187		bits187		CLIENT
	team00188		bits188		CLIENT
	team00189		bits189		CLIENT
	team00190		bits190		CLIENT
	team00191		bits191		CLIENT
